Title,Year,Album debut,Duration,Other releases,Single A side,Single B side,Single certification,Genre,Songwriter,Lead vocal,Cover,Covered by,Top 50 Billboard
Paperback Writer,1966,UK: A Collection of Beatles Oldies US: Hey Jude,138,27,Paperback Writer,Rain,RIAA Gold,"Hard Rock, Power Pop, Psychedelic Rock, Pop/Rock",McCartney,McCartney,,8,19
Penny Lane,1966,Magical Mystery Tour,183,22,Penny Lane,Strawberry Fields Forever,RIAA Gold,"Progressive Pop, Baroque Pop, Psychedelic Pop, Psychedelic Rock, Pop/Rock",McCartney,McCartney,,13,24
Piggies,1968,The Beatles,124,9,,,,"Baroque Pop, Folk, Pop/Rock",Harrison,Harrison,,2,
Please Mr. Postman,1963,UK: With the Beatles US: The Beatles Second Album,156,19,Roll Over Beethoven,Please Mr. Postman,,"Rock and Roll, Pop/Rock","Dobbins, Garrett, Holland, Bateman, Gorman",Lennon,Y,,
Please Please Me,1962,UK: Please Please Me US: The Early Beatles,120,35,Please Please Me; Please Please Me,Ask Me Why; From Me to You,RIAA Platinum,"Merseybeat, Rock and Roll, Pop/Rock",Lennon,"Lennon, with McCartney",,10,18
Polythene Pam,1969,Abbey Road,72,8,,,,Pop/Rock,Lennon,Lennon,,3,
Rain,1966,UK: Rarities US: Hey Jude,179,15,Paperback Writer,Rain,RIAA Gold,"Psychedelic Rock, Pop/Rock",Lennon,Lennon,,12,42
Real Love,1980/1995,Anthology 2,236,2,Real Love,Baby's in Black,RIAA Gold,"Rock, Pop/Rock","Lennon, with McCartney, Harrison, Starkey",Lennon,,,47
Revolution 1,1968,The Beatles,201,7,,,,"Hard rock, Pop/Rock",Lennon,Lennon,,2,
Revolution 9,1968,The Beatles,502,7,,,,"Avant-Garde, Musique Concrete, Experimental, Sound Collage, Pop/Rock","Lennon, with Ono and Harrison",N/A,,4,
Revolution,1968,UK: 1967-1970 US: Hey Jude,201,23,Hey Jude,Revolution,RIAA 4xPlatinum,"Hard rock, Pop/Rock",Lennon,Lennon,,18,32
"Rip It Up/Shake, Rattle, and Roll/Blue Suede Shoes",1969,Anthology 3,,,,,,"Rock and Roll, Pop/Rock","Blackwell-Marascalco (""Rip It Up""), Calhoun (""Shake, Rattle, and Roll""), Perkins (""Blue Suede Shoes"")",Lennon and McCartney,Y,,
Rock and Roll Music,1964,UK: Beatles for Sale US: Beatles '65,150,25,Rock and Roll Music; No Reply,I'm a Loser; Rock and Roll Music,,"Rock and Roll, Pop/Rock",Berry,Lennon,Y,,
Rocky Raccoon,1968,The Beatles,213,9,,,,"Country, Folk Rock, Pop/Rock","McCartney, with Lennon",McCartney,,7,
Roll Over Beethoven,1963,UK: With the Beatles US: The Beatles Second Album,168,31,Roll Over Beethoven; Roll Over Beethoven,Please Mr. Postman; Misery,,"Rock and Roll, Pop/Rock",Berry,Harrison,Y,,
Run for Your Life,1965,Rubber Soul,138,9,,,,"Rock, Rock and Roll, Pop/Rock","Lennon, with McCartney",Lennon,,5,
Savoy Truffle,1968,The Beatles,174,7,,,,"Soul, Blues Rock, Hard Rock, Pop/Rock",Harrison,Harrison,,3,
Searchin',1962,Anthology 1,156,,,,,"Rock and Roll, Pop/Rock","Leiber, Stoller",McCartney,Y,,
September in the Rain,1962,,,,,,,Pop/Rock,"Al Dubin, Harry Warren",McCartney,Y,,
Sexy Sadie,1968,The Beatles,195,11,,,,Pop/Rock,Lennon,Lennon,,3,
Sgt. Pepper's Lonely Hearts Club Band (Reprise),1967,Sgt. Pepper's Lonely Hearts Club Band,80,6,,,,"Psychedelic Rock, Hard Rock, Pop/Rock",McCartney,"McCartney, with Lennon and Harrison",,5,
Sgt. Pepper's Lonely Hearts Club Band,1967,Sgt. Pepper's Lonely Hearts Club Band,119,14,Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends,A Day in the Life,,"Psychedelic Rock, Hard Rock, Pop/Rock",McCartney,"McCartney, with Lennon",,15,
Shakin' in the Sixties,1969,,,,,,,Pop/Rock,Lennon,Lennon,,,
She Came in Through the Bathroom Window,1969,Abbey Road,117,6,,,,"Rock, Pop/Rock",McCartney,McCartney,,2,
She Loves You,1963,UK: A Collection of Beatles Oldies US: The Beatles Second Album,138,45,She Loves You,I'll Get You,,"Rock and Roll, Pop/Rock",Lennon and McCartney,Lennon and McCartney,,19,3
She Said She Said,1966,Revolver,157,7,,,,"Psychedelic Rock, Acid Rock[, Pop/Rock",Lennon,Lennon,,5,
She's a Woman,1964,UK: Rarities US: Beatles '65,183,28,I Feel Fine,She's a Woman,RIAA Gold,"Rock and Roll, R&B, Pop/Rock",McCartney,McCartney,,6,31
She's Leaving Home,1967,Sgt. Pepper's Lonely Hearts Club Band,215,7,,,,"Baroque Pop, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",,26,
Shout,1964,Anthology 1,135,,,,,"Rock and Roll, Gospel, Pop/Rock","Isley, Isley, Isley","Lennon, McCartney, Harrison and Starkey",Y,,
Sie Liebt Dich,1964,UK: Rarities US: Rarities,139,9,Komm Gib Mir Deine Hand; Sie Liebt Dich,Sie Liebt Dich; I'll Get You,,"Rock and Roll, Pop/Rock",Lennon and McCartney/Nicolas/Montague,Lennon-McCartney,,,
Slow Down,1964,UK: Rock 'n' Roll Music US: Something New,175,21,Matchbox,Slow Down,,"Rock and Roll, Pop/Rock",Williams,Lennon,Y,,44
So How Come (No One Loves Me),1963,Live at the BBC,114,,,,,Pop/Rock,"Bryant, Bryant",Harrison,Y,,
Soldier of Love (Lay Down Your Arms),1963,Live at the BBC,119,,,,,"R&B, Pop/Rock","Cason, Moon",Lennon,Y,,
Some Other Guy,1963,Live at the BBC,121,,,,,"Rock and Roll, Pop/Rock","Leiber, Stoller, Barrett",Lennon and McCartney,Y,,
Something,1969,Abbey Road,179,16,Something,Come Together,RIAA 2xPlatinum,"Rock, Pop/Rock",Harrison,Harrison,,43,30
Sour Milk Sea,1968,,236,,,,,"Hard Rock, Psychedelic Rock, Pop/Rock",Harrison,Harrison,,,
